method	perm	pair	pas_id	pvalue	qvalue
fisher	4	IVprimary_vs_Met	146620	0.8199091119973789	0.8571777079972598
fisher	4	IVprimary_vs_Met	146623	0.8199091119973789	0.8571777079972598
fisher	4	IVprimary_vs_Met	11515	1.0	1.0
fisher	4	IVprimary_vs_Normal	105680	4.114158944897587e-05	0.0004731282786632
fisher	4	IVprimary_vs_Normal	105690	4.114158944897587e-05	0.0004731282786632
fisher	4	IVprimary_vs_Normal	52558	0.000953839572842	0.0054845775438415
fisher	4	IVprimary_vs_Normal	52557	0.000953839572842	0.0054845775438415
fisher	4	IVprimary_vs_Normal	109436	0.1706809893729836	0.3925662755578623
fisher	4	IVprimary_vs_Normal	109435	0.1706809893729836	0.3925662755578623
fisher	4	IVprimary_vs_Normal	218	0.1590613567053587	0.3925662755578623
fisher	4	IVprimary_vs_Normal	221	0.1590613567053587	0.3925662755578623
fisher	4	IVprimary_vs_Normal	43534	0.1079963192276993	0.3925662755578623
fisher	4	IVprimary_vs_Normal	43539	0.1079963192276993	0.3925662755578623
fisher	4	IVprimary_vs_Normal	11529	0.2348271345651873	0.4910021904544825
fisher	4	IVprimary_vs_Normal	11541	0.3262902322861085	0.625389611881708
fisher	4	IVprimary_vs_Normal	39791	0.5998281804163954	0.7775353439127438
fisher	4	IVprimary_vs_Normal	39788	0.5998281804163954	0.7775353439127438
fisher	4	IVprimary_vs_Normal	260814	0.5582015390613626	0.7775353439127438
fisher	4	IVprimary_vs_Normal	260811	0.5582015390613626	0.7775353439127438
fisher	4	IVprimary_vs_Normal	72944	0.608505921323017	0.7775353439127438
fisher	4	IVprimary_vs_Normal	72941	0.608505921323017	0.7775353439127438
