symbol	m1_delta	m2_delta	m1_mono	m2_mono	m1_npas	m2_npas	m1_wdi_Spermatocyte	m2_wdi_Spermatocyte	m1_wdi_RoundSpermatid	m2_wdi_RoundSpermatid	m1_wdi_Elongating	m2_wdi_Elongating	mean_delta
Uqcc1	-0.3601895734597156	-0.3982300884955752	True	True	2	2	0.3601895734597156	0.3982300884955752	0.0734312416555407	0.0535346602608098	0.0	0.0	-0.3792098309776454
Pcnp	-0.3638032409373614	-0.3776587070471752	True	True	4	4	0.7590673575129534	0.8298039215686274	0.5185185185185185	0.635678391959799	0.3952641165755919	0.4521452145214521	-0.3707309739922683
4930519G04Rik	-0.3619047619047619	-0.3696900114810563	False	False	2	2	0.4542124542124542	0.4850746268656716	0.0798212005108556	0.0768532526475037	0.0923076923076923	0.1153846153846153	-0.365797386692909
Snap29	-0.3242068665797479	-0.3961959496442255	True	True	3	3	0.4011299435028249	0.4176245210727969	0.1141649048625792	0.1427745664739884	0.0769230769230769	0.0214285714285714	-0.3602014081119867
Sufu	-0.3552206584464649	-0.3557984790874525	True	True	2	2	0.3567567567567568	0.3583333333333333	0.03954802259887	0.0127516778523489	0.0015360983102918	0.0025348542458808	-0.3555095687669587
Jmjd6	-0.3482197933533811	-0.3596145411774086	True	True	3	3	0.966540404040404	0.9550970873786409	0.8962765957446809	0.883402489626556	0.6183206106870229	0.5954825462012321	-0.3539171672653949
Ptpn9	-0.3792663476874003	-0.3281779348946825	True	True	2	2	0.4701754385964912	0.3926940639269406	0.2801932367149758	0.2938689217758985	0.0909090909090909	0.064516129032258	-0.3537221412910414
Rnf185	-0.3740510697032436	-0.3315015479876161	True	False	2	2	0.5169082125603864	0.5197368421052632	0.1458885941644562	0.1781206171107994	0.1428571428571428	0.188235294117647	-0.3527763088454299
Rgs3	-0.3119931711481007	-0.3891938250428817	True	True	2	2	0.9483568075117372	0.9528301886792452	0.7272727272727273	0.7817679558011049	0.6363636363636364	0.5636363636363636	-0.3505934980954912
Pcyt1a	-0.3393933636190904	-0.3568464730290456	True	True	2	2	0.3465703971119133	0.3568464730290456	0.0383795309168443	0.0298969072164948	0.0071770334928229	0.0	-0.348119918324068
1700066M21Rik	-0.2963182037662965	-0.3994959677419355	True	True	2	2	0.3910550458715596	0.415625	0.1598414795244385	0.1675639300134589	0.0947368421052631	0.0161290322580645	-0.347907085754116
Pacsin2	-0.3712121212121212	-0.3214001986097318	True	False	3	3	0.4902597402597403	0.5289473684210526	0.1756965944272445	0.1878088962108731	0.119047619047619	0.2075471698113207	-0.3463061599109265
Slc35a5	-0.3137962719873982	-0.3631324448637811	True	True	2	2	0.6346153846153846	0.8057553956834532	0.3804347826086957	0.507085020242915	0.3208191126279863	0.4426229508196721	-0.3384643584255896
Rbl2	-0.4618931559185824	-0.2024082372661033	True	True	2	3	0.4680851063829787	0.2073170731707317	0.1377974543442169	0.067011751538892	0.0061919504643962	0.0049088359046283	-0.3321506965923428
Fam107b	-0.3058028169014084	-0.3519457523076155	True	True	2	2	0.312	0.3525291828793774	0.1081081081081081	0.1043937892302609	0.0061971830985915	0.0005834305717619	-0.3288742846045119
Ncoa4	-0.3441666666666667	-0.3108921729611384	True	True	4	4	0.6375	0.6442255062944717	0.3794813119755911	0.3892725598526703	0.2933333333333333	0.3333333333333333	-0.3275294198139025
Rnf216	-0.384476157326836	-0.2693685624720108	True	True	3	3	0.8609467455621301	0.7758620689655172	0.6215644820295984	0.6126681614349776	0.4764705882352941	0.5064935064935064	-0.3269223598994234
Ascc2	-0.2787534435261707	-0.372143037242484	True	True	2	2	0.3829201101928374	0.4192634560906516	0.2093023255813953	0.2209005947323704	0.1041666666666666	0.0471204188481675	-0.3254482403843274
Gorasp2	-0.3181833417127535	-0.3292867444435859	False	False	2	2	0.5233115468409586	0.4780962682531098	0.1536565324568611	0.1382434029145332	0.2051282051282051	0.1488095238095238	-0.3237350430781697
Yod1	-0.2831979458450047	-0.3612167300380228	True	True	3	3	0.2883333333333333	0.3612167300380228	0.038647342995169	0.015625	0.0051353874883286	0.0	-0.3222073379415137
Fgfr1op2	-0.4191485560684179	-0.2248667942085609	True	True	2	3	0.5469440832249675	0.2770569153641993	0.4312465064281721	0.2183052617835226	0.1277955271565495	0.0521901211556384	-0.3220076751384894
Dcun1d4	-0.330217294018199	-0.3103143960286817	True	True	2	3	0.3361344537815126	0.3265306122448979	0.0338747099767981	0.0368995633187772	0.0059171597633136	0.0162162162162162	-0.3202658450234403
Igsf11	-0.3956611570247934	-0.2424242424242424	True	True	2	2	0.4297520661157025	0.2424242424242424	0.0384	0.0421383647798742	0.034090909090909	0.0	-0.3190426997245179
Clec4g	-0.2309391889595159	-0.4070242656449553	True	False	2	2	0.5186104218362283	0.5551724137931034	0.4956521739130435	0.5708418891170431	0.2876712328767123	0.1481481481481481	-0.3189817273022356
